Year,CCoal,CPetroleum,CGas,CTotal,Sname
1980,0.007,5.867,14.294,20.167,alabama
1981,0.004,8.373,13.125,21.502,alabama
1982,0.004,5.588,13.123,18.714,alabama
1983,0.004,4.257,11.924,16.184,alabama
1984,0.059,5.067,10.563,15.69,alabama
1985,0.091,2.66,11.298,14.048,alabama
1986,0,3.919,10.053,13.972,alabama
1987,0.001,4.344,11.59,15.935,alabama
1988,0.011,4.029,13.559,17.598,alabama
1989,0.018,3.496,14.292,17.806,alabama
1990,0.044,3.324,15.61,18.978,alabama
1991,0.079,3.39,15.662,19.13,alabama
1992,0,1.903,15.523,17.427,alabama
1993,0.253,1.483,13.785,15.521,alabama
1994,0.308,1.443,14.168,15.918,alabama
1995,0.252,1.8,14.952,17.005,alabama
1996,0.34,1.504,12.899,14.743,alabama
1997,0.209,1.429,13.703,15.341,alabama
1998,0.228,1.719,15.814,17.761,alabama
1999,0.054,1.68,13.174,14.908,alabama
2000,0.047,1.816,12.504,14.367,alabama
2001,0,1.602,13.243,14.845,alabama
2002,0,1.344,12.887,14.232,alabama
2003,0,1.399,12.604,14.003,alabama
2004,0.016,1.57,12.533,14.118,alabama
2005,0.038,1.537,12.653,14.228,alabama
2006,0.003,1.181,13.264,14.448,alabama
2007,0,1.369,13.709,15.078,alabama
2008,0,1.928,13.688,15.616,alabama
2009,0,2.082,13.501,15.583,alabama
2010,0,2.632,13.441,16.073,alabama
2011,0,2.386,13.31,15.696,alabama
2012,0,2.208,13.703,15.911,alabama
2013,0,2.069,13.874,15.943,alabama
2014,0,2.108,12.968,15.075,alabama
2015,0,5.645,12.971,18.616,alabama
2016,0,5.852,13.017,18.869,alabama
2017,0,5.927,13.041,18.968,alabama
1980,0.007,5.867,14.294,20.167,alaska
1981,0.004,8.373,13.125,21.502,alaska
1982,0.004,5.588,13.123,18.714,alaska
1983,0.004,4.257,11.924,16.184,alaska
1984,0.059,5.067,10.563,15.69,alaska
1985,0.091,2.66,11.298,14.048,alaska
1986,0,3.919,10.053,13.972,alaska
1987,0.001,4.344,11.59,15.935,alaska
1988,0.011,4.029,13.559,17.598,alaska
1989,0.018,3.496,14.292,17.806,alaska
1990,0.044,3.324,15.61,18.978,alaska
1991,0.079,3.39,15.662,19.13,alaska
1992,0,1.903,15.523,17.427,alaska
1993,0.253,1.483,13.785,15.521,alaska
1994,0.308,1.443,14.168,15.918,alaska
1995,0.252,1.8,14.952,17.005,alaska
1996,0.34,1.504,12.899,14.743,alaska
1997,0.209,1.429,13.703,15.341,alaska
1998,0.228,1.719,15.814,17.761,alaska
1999,0.054,1.68,13.174,14.908,alaska
2000,0.047,1.816,12.504,14.367,alaska
2001,0,1.602,13.243,14.845,alaska
2002,0,1.344,12.887,14.232,alaska
2003,0,1.399,12.604,14.003,alaska
2004,0.016,1.57,12.533,14.118,alaska
2005,0.038,1.537,12.653,14.228,alaska
2006,0.003,1.181,13.264,14.448,alaska
2007,0,1.369,13.709,15.078,alaska
2008,0,1.928,13.688,15.616,alaska
2009,0,2.082,13.501,15.583,alaska
2010,0,2.632,13.441,16.073,alaska
2011,0,2.386,13.31,15.696,alaska
2012,0,2.208,13.703,15.911,alaska
2013,0,2.069,13.874,15.943,alaska
2014,0,2.108,12.968,15.075,alaska
