Year,Coal,Petroleum Products,Natural Gas,Total,Sname
1980,0,32.122,28.958,61.08,alabama
1981,0,22.734,36.682,59.416,alabama
1982,0,7.974,29.824,37.799,alabama
1983,0,5.525,25.859,31.384,alabama
1984,0,2.329,31.922,34.251,alabama
1985,0,2.418,37.153,39.571,alabama
1986,0,2.79,24.63,27.419,alabama
1987,0,1.796,35.43,37.226,alabama
1988,0,6.246,30.393,36.639,alabama
1989,0.801,7.61,35.839,44.25,alabama
1990,1.793,4.167,34.43,40.391,alabama
1991,2.429,1.296,34.301,38.027,alabama
1992,2.546,1.212,41.842,45.6,alabama
1993,2.635,2.578,36.834,42.046,alabama
1994,2.524,2.663,44.295,49.482,alabama
1995,2.218,2.016,32.894,37.128,alabama
1996,1.902,2.332,28.576,32.81,alabama
1997,1.708,1.825,32.255,35.788,alabama
1998,1.911,2.229,35.232,39.372,alabama
1999,2.107,1.986,39.219,43.311,alabama
2000,2.104,2.467,48.348,52.918,alabama
2001,2.013,2.796,53.032,57.84,alabama
2002,2.187,2.177,39.384,43.749,alabama
2003,2.077,2.347,38.299,42.723,alabama
2004,2.156,2.128,42.084,46.369,alabama
2005,1.98,2.361,37.634,41.974,alabama
2006,2.093,2.171,42.225,46.489,alabama
2007,2.231,2.157,45.65,50.038,alabama
2008,2.257,1.863,46.819,50.939,alabama
2009,2.014,1.772,44.078,47.864,alabama
2010,2.08,1.297,40.075,43.452,alabama
2011,1.881,1.106,33.432,36.419,alabama
2012,1.256,0.237,46.523,48.016,alabama
2013,0.594,0.054,45.067,45.714,alabama
2014,0.656,0.053,45.574,46.283,alabama
2015,0,0.028,44.236,44.264,alabama
2016,0,0.028,36.544,36.572,alabama
2017,0,0,32.961,32.961,alabama
1980,0,32.122,28.958,61.08,alaska
1981,0,22.734,36.682,59.416,alaska
1982,0,7.974,29.824,37.799,alaska
1983,0,5.525,25.859,31.384,alaska
1984,0,2.329,31.922,34.251,alaska
1985,0,2.418,37.153,39.571,alaska
1986,0,2.79,24.63,27.419,alaska
1987,0,1.796,35.43,37.226,alaska
1988,0,6.246,30.393,36.639,alaska
1989,0.801,7.61,35.839,44.25,alaska
1990,1.793,4.167,34.43,40.391,alaska
1991,2.429,1.296,34.301,38.027,alaska
1992,2.546,1.212,41.842,45.6,alaska
1993,2.635,2.578,36.834,42.046,alaska
1994,2.524,2.663,44.295,49.482,alaska
1995,2.218,2.016,32.894,37.128,alaska
1996,1.902,2.332,28.576,32.81,alaska
1997,1.708,1.825,32.255,35.788,alaska
1998,1.911,2.229,35.232,39.372,alaska
1999,2.107,1.986,39.219,43.311,alaska
2000,2.104,2.467,48.348,52.918,alaska
2001,2.013,2.796,53.032,57.84,alaska
2002,2.187,2.177,39.384,43.749,alaska
2003,2.077,2.347,38.299,42.723,alaska
2004,2.156,2.128,42.084,46.369,alaska
2005,1.98,2.361,37.634,41.974,alaska
2006,2.093,2.171,42.225,46.489,alaska
2007,2.231,2.157,45.65,50.038,alaska
2008,2.257,1.863,46.819,50.939,alaska
2009,2.014,1.772,44.078,47.864,alaska
2010,2.08,1.297,40.075,43.452,alaska
2011,1.881,1.106,33.432,36.419,alaska
