Year,Coal,Petroleum Products,Natural Gas,Total,Sname
1980,6.077,30.823,26.737,63.637,alabama
1981,7.232,23.463,25.444,56.139,alabama
1982,6.405,24.024,19.992,50.42,alabama
1983,2.986,33.503,18.916,55.406,alabama
1984,3.41,42.249,23.04,68.7,alabama
1985,4.121,38.378,23.694,66.193,alabama
1986,3.983,33.606,23.368,60.957,alabama
1987,4.207,33.728,30.122,68.057,alabama
1988,4.745,33.501,26.401,64.646,alabama
1989,5.405,29.397,28.905,63.707,alabama
1990,6.128,27.418,31.998,65.544,alabama
1991,5.978,22.111,38.299,66.389,alabama
1992,6.146,23.684,37.209,67.038,alabama
1993,5.067,20.905,38.336,64.308,alabama
1994,5.119,22.071,36.337,63.527,alabama
1995,5.477,19.277,37.214,61.967,alabama
1996,5.307,19.953,38.327,63.587,alabama
1997,5.871,19.788,42.619,68.278,alabama
1998,4.099,16.655,45.656,66.411,alabama
1999,4.425,17.994,42.418,64.837,alabama
2000,4.472,18.2,42.425,65.096,alabama
2001,4.396,24.388,38.533,67.317,alabama
2002,4.417,21.342,42.237,67.995,alabama
2003,4.473,19.849,44.239,68.561,alabama
2004,4.328,20.085,47.2,71.613,alabama
2005,4.379,19.832,44.443,68.653,alabama
2006,4.269,20.955,42.818,68.043,alabama
2007,4.083,18.935,43.428,66.446,alabama
2008,3.732,18.479,42.791,65.001,alabama
2009,2.965,16.129,41.924,61.017,alabama
2010,3.142,18.84,41.617,63.599,alabama
2011,3.367,19.479,40.553,63.4,alabama
2012,2.904,17.966,42.556,63.426,alabama
2013,3.023,19.272,44.932,67.228,alabama
2014,3.088,18.773,45.332,67.193,alabama
2015,2.931,19.383,45.077,67.392,alabama
2016,3.037,19.252,44.679,66.968,alabama
2017,3.187,19.466,43.967,66.62,alabama
1980,6.077,30.823,26.737,63.637,alaska
1981,7.232,23.463,25.444,56.139,alaska
1982,6.405,24.024,19.992,50.42,alaska
1983,2.986,33.503,18.916,55.406,alaska
1984,3.41,42.249,23.04,68.7,alaska
1985,4.121,38.378,23.694,66.193,alaska
1986,3.983,33.606,23.368,60.957,alaska
1987,4.207,33.728,30.122,68.057,alaska
1988,4.745,33.501,26.401,64.646,alaska
1989,5.405,29.397,28.905,63.707,alaska
1990,6.128,27.418,31.998,65.544,alaska
1991,5.978,22.111,38.299,66.389,alaska
1992,6.146,23.684,37.209,67.038,alaska
1993,5.067,20.905,38.336,64.308,alaska
1994,5.119,22.071,36.337,63.527,alaska
1995,5.477,19.277,37.214,61.967,alaska
1996,5.307,19.953,38.327,63.587,alaska
1997,5.871,19.788,42.619,68.278,alaska
1998,4.099,16.655,45.656,66.411,alaska
1999,4.425,17.994,42.418,64.837,alaska
2000,4.472,18.2,42.425,65.096,alaska
2001,4.396,24.388,38.533,67.317,alaska
2002,4.417,21.342,42.237,67.995,alaska
2003,4.473,19.849,44.239,68.561,alaska
2004,4.328,20.085,47.2,71.613,alaska
2005,4.379,19.832,44.443,68.653,alaska
2006,4.269,20.955,42.818,68.043,alaska
2007,4.083,18.935,43.428,66.446,alaska
2008,3.732,18.479,42.791,65.001,alaska
2009,2.965,16.129,41.924,61.017,alaska
2010,3.142,18.84,41.617,63.599,alaska
2011,3.367,19.479,40.553,63.4,alaska
2012,2.904,17.966,42.556,63.426,alaska
2013,3.023,19.272,44.932,67.228,alaska
2014,3.088,18.773,45.332,67.193,alaska
2015,2.931,19.383,45.077,67.392,alaska
2016,3.037,19.252,44.679,66.968,alaska
2017,3.187,19.466,43.967,66.62,alaska
1980,6.077,30.823,26.737,63.637,arizona
1981,7.232,23.463,25.444,56.139,arizona
1982,6.405,24.024,19.992,50.42,arizona
1983,2.986,33.503,18.916,55.406,arizona
1984,3.41,42.249,23.04,68.7,arizona
1985,4.121,38.378,23.694,66.193,arizona
1986,3.983,33.606,23.368,60.957,arizona
1987,4.207,33.728,30.122,68.057,arizona
1988,4.745,33.501,26.401,64.646,arizona
1989,5.405,29.397,28.905,63.707,arizona
1990,6.128,27.418,31.998,65.544,arizona
1991,5.978,22.111,38.299,66.389,arizona
1992,6.146,23.684,37.209,67.038,arizona
1993,5.067,20.905,38.336,64.308,arizona
1994,5.119,22.071,36.337,63.527,arizona
1995,5.477,19.277,37.214,61.967,arizona
1996,5.307,19.953,38.327,63.587,arizona
1997,5.871,19.788,42.619,68.278,arizona
1998,4.099,16.655,45.656,66.411,arizona
1999,4.425,17.994,42.418,64.837,arizona
2000,4.472,18.2,42.425,65.096,arizona
2001,4.396,24.388,38.533,67.317,arizona
2002,4.417,21.342,42.237,67.995,arizona
2003,4.473,19.849,44.239,68.561,arizona
