Year,Coal,Petroleum Products,Natural Gas,Total,Sname
1980,0.002,1.078,29.309,30.389,alabama
1981,0.001,0.98,27.055,28.036,alabama
1982,0.001,0.966,29.845,30.812,alabama
1983,0.001,1.173,27.534,28.708,alabama
1984,0.014,1.022,25.998,27.034,alabama
1985,0.026,1.209,29.064,30.299,alabama
1986,0,1.041,25.535,26.576,alabama
1987,0,1.238,27.408,28.646,alabama
1988,0.003,1.348,27.136,28.487,alabama
1989,0.005,1.465,28.365,29.835,alabama
1990,0.011,1.325,28.171,29.507,alabama
1991,0.018,1.57,27.701,29.289,alabama
1992,0,1.115,26.119,27.234,alabama
1993,0.057,1.178,27.592,28.827,alabama
1994,0.055,1.163,28.172,29.39,alabama
1995,0.039,1.13,25.612,26.78,alabama
1996,0.047,0.958,25.973,26.978,alabama
1997,0.026,0.894,25.844,26.764,alabama
1998,0.029,1.443,30.822,32.294,alabama
1999,0.008,1.344,30.606,31.958,alabama
2000,0.006,1.332,26.219,27.556,alabama
2001,0,1.033,27.623,28.656,alabama
2002,0,1.041,27.634,28.675,alabama
2003,0,1.408,26.946,28.354,alabama
2004,0.002,1.723,27.71,29.435,alabama
2005,0.003,1.953,26.257,28.213,alabama
2006,0,1.721,26.687,28.408,alabama
2007,0,1.734,26.889,28.624,alabama
2008,0,2.097,26.679,28.776,alabama
2009,0,2.115,26.194,28.309,alabama
2010,0,2.094,26.822,28.916,alabama
2011,0,1.945,27.717,29.662,alabama
2012,0,1.451,25.871,27.323,alabama
2013,0,1.472,26.229,27.701,alabama
2014,0,1.226,21.687,22.913,alabama
2015,0,1.36,22.068,23.428,alabama
2016,0,1.488,22.623,24.111,alabama
2017,0,1.417,23.68,25.097,alabama
1980,0.002,1.078,29.309,30.389,alaska
1981,0.001,0.98,27.055,28.036,alaska
1982,0.001,0.966,29.845,30.812,alaska
1983,0.001,1.173,27.534,28.708,alaska
1984,0.014,1.022,25.998,27.034,alaska
1985,0.026,1.209,29.064,30.299,alaska
1986,0,1.041,25.535,26.576,alaska
1987,0,1.238,27.408,28.646,alaska
1988,0.003,1.348,27.136,28.487,alaska
1989,0.005,1.465,28.365,29.835,alaska
1990,0.011,1.325,28.171,29.507,alaska
1991,0.018,1.57,27.701,29.289,alaska
1992,0,1.115,26.119,27.234,alaska
1993,0.057,1.178,27.592,28.827,alaska
1994,0.055,1.163,28.172,29.39,alaska
1995,0.039,1.13,25.612,26.78,alaska
1996,0.047,0.958,25.973,26.978,alaska
1997,0.026,0.894,25.844,26.764,alaska
1998,0.029,1.443,30.822,32.294,alaska
1999,0.008,1.344,30.606,31.958,alaska
2000,0.006,1.332,26.219,27.556,alaska
2001,0,1.033,27.623,28.656,alaska
2002,0,1.041,27.634,28.675,alaska
2003,0,1.408,26.946,28.354,alaska
2004,0.002,1.723,27.71,29.435,alaska
2005,0.003,1.953,26.257,28.213,alaska
2006,0,1.721,26.687,28.408,alaska
2007,0,1.734,26.889,28.624,alaska
2008,0,2.097,26.679,28.776,alaska
2009,0,2.115,26.194,28.309,alaska
2010,0,2.094,26.822,28.916,alaska
2011,0,1.945,27.717,29.662,alaska
2012,0,1.451,25.871,27.323,alaska
2013,0,1.472,26.229,27.701,alaska
