Year,Coal,Petroleum Products,Natural Gas,Total,Sname
1980,0,170.065,0.845,170.91,alabama
1981,0,168.454,0.835,169.289,alabama
1982,0,159.542,0.717,160.259,alabama
1983,0,161.19,0.565,161.754,alabama
1984,0,169.558,0.626,170.184,alabama
1985,0,168.697,0.794,169.491,alabama
1986,0,174.541,0.679,175.22,alabama
1987,0,183.676,1.031,184.707,alabama
1988,0,194.338,1.048,195.385,alabama
1989,0,200.73,1.059,201.789,alabama
1990,0,202.12,1.103,203.222,alabama
1991,0,191.463,1.008,192.472,alabama
1992,0,191.362,0.828,192.19,alabama
1993,0,187.509,0.681,188.189,alabama
1994,0,195.9,0.688,196.588,alabama
1995,0,199.858,1.061,200.919,alabama
1996,0,203.176,1.064,204.24,alabama
1997,0,197.277,1.296,198.573,alabama
1998,0,198.725,0.577,199.301,alabama
1999,0,203.141,0.616,203.757,alabama
2000,0,214.216,0.612,214.828,alabama
2001,0,209.973,0.734,210.707,alabama
2002,0,222.175,0.671,222.846,alabama
2003,0,212.357,0.654,213.011,alabama
2004,0,221.7,0.91,222.61,alabama
2005,0,227.308,1.096,228.404,alabama
2006,0,231.859,0.918,232.777,alabama
2007,0,234.063,1.093,235.156,alabama
2008,0,218.09,1.06,219.15,alabama
2009,0,212.367,1.046,213.412,alabama
2010,0,207.649,1.263,208.913,alabama
2011,0,200.339,1.348,201.688,alabama
2012,0,195.327,1.493,196.82,alabama
2013,0,196.294,1.339,197.633,alabama
2014,0,197.91,2.103,200.013,alabama
2015,0,203.637,1.954,205.591,alabama
2016,0,210.479,2.263,212.742,alabama
2017,0,214.993,2.275,217.269,alabama
1980,0,170.065,0.845,170.91,alaska
1981,0,168.454,0.835,169.289,alaska
1982,0,159.542,0.717,160.259,alaska
1983,0,161.19,0.565,161.754,alaska
1984,0,169.558,0.626,170.184,alaska
1985,0,168.697,0.794,169.491,alaska
1986,0,174.541,0.679,175.22,alaska
1987,0,183.676,1.031,184.707,alaska
1988,0,194.338,1.048,195.385,alaska
1989,0,200.73,1.059,201.789,alaska
1990,0,202.12,1.103,203.222,alaska
1991,0,191.463,1.008,192.472,alaska
1992,0,191.362,0.828,192.19,alaska
1993,0,187.509,0.681,188.189,alaska
1994,0,195.9,0.688,196.588,alaska
1995,0,199.858,1.061,200.919,alaska
1996,0,203.176,1.064,204.24,alaska
1997,0,197.277,1.296,198.573,alaska
1998,0,198.725,0.577,199.301,alaska
1999,0,203.141,0.616,203.757,alaska
2000,0,214.216,0.612,214.828,alaska
2001,0,209.973,0.734,210.707,alaska
2002,0,222.175,0.671,222.846,alaska
2003,0,212.357,0.654,213.011,alaska
2004,0,221.7,0.91,222.61,alaska
2005,0,227.308,1.096,228.404,alaska
2006,0,231.859,0.918,232.777,alaska
2007,0,234.063,1.093,235.156,alaska
2008,0,218.09,1.06,219.15,alaska
2009,0,212.367,1.046,213.412,alaska
2010,0,207.649,1.263,208.913,alaska
2011,0,200.339,1.348,201.688,alaska
2012,0,195.327,1.493,196.82,alaska
2013,0,196.294,1.339,197.633,alaska
2014,0,197.91,2.103,200.013,alaska
2015,0,203.637,1.954,205.591,alaska
2016,0,210.479,2.263,212.742,alaska
2017,0,214.993,2.275,217.269,alaska
1980,0,170.065,0.845,170.91,arizona
1981,0,168.454,0.835,169.289,arizona
1982,0,159.542,0.717,160.259,arizona
1983,0,161.19,0.565,161.754,arizona
1984,0,169.558,0.626,170.184,arizona
1985,0,168.697,0.794,169.491,arizona
1986,0,174.541,0.679,175.22,arizona
1987,0,183.676,1.031,184.707,arizona
1988,0,194.338,1.048,195.385,arizona
1989,0,200.73,1.059,201.789,arizona
1990,0,202.12,1.103,203.222,arizona
1991,0,191.463,1.008,192.472,arizona
1992,0,191.362,0.828,192.19,arizona
1993,0,187.509,0.681,188.189,arizona
1994,0,195.9,0.688,196.588,arizona
1995,0,199.858,1.061,200.919,arizona
1996,0,203.176,1.064,204.24,arizona
1997,0,197.277,1.296,198.573,arizona
1998,0,198.725,0.577,199.301,arizona
1999,0,203.141,0.616,203.757,arizona
2000,0,214.216,0.612,214.828,arizona
2001,0,209.973,0.734,210.707,arizona
2002,0,222.175,0.671,222.846,arizona
2003,0,212.357,0.654,213.011,arizona
2004,0,221.7,0.91,222.61,arizona
2005,0,227.308,1.096,228.404,arizona
2006,0,231.859,0.918,232.777,arizona
2007,0,234.063,1.093,235.156,arizona
2008,0,218.09,1.06,219.15,arizona
2009,0,212.367,1.046,213.412,arizona
2010,0,207.649,1.263,208.913,arizona
2011,0,200.339,1.348,201.688,arizona
2012,0,195.327,1.493,196.82,arizona
2013,0,196.294,1.339,197.633,arizona
2014,0,197.91,2.103,200.013,arizona
2015,0,203.637,1.954,205.591,arizona
2016,0,210.479,2.263,212.742,arizona
2017,0,214.993,2.275,217.269,arizona
1980,0,170.065,0.845,170.91,arkansas
1981,0,168.454,0.835,169.289,arkansas
1982,0,159.542,0.717,160.259,arkansas
1983,0,161.19,0.565,161.754,arkansas
1984,0,169.558,0.626,170.184,arkansas
1985,0,168.697,0.794,169.491,arkansas
1986,0,174.541,0.679,175.22,arkansas
1987,0,183.676,1.031,184.707,arkansas
1988,0,194.338,1.048,195.385,arkansas
1989,0,200.73,1.059,201.789,arkansas
1990,0,202.12,1.103,203.222,arkansas
1991,0,191.463,1.008,192.472,arkansas
1992,0,191.362,0.828,192.19,arkansas
1993,0,187.509,0.681,188.189,arkansas
1994,0,195.9,0.688,196.588,arkansas
1995,0,199.858,1.061,200.919,arkansas
1996,0,203.176,1.064,204.24,arkansas
1997,0,197.277,1.296,198.573,arkansas
1998,0,198.725,0.577,199.301,arkansas
1999,0,203.141,0.616,203.757,arkansas
2000,0,214.216,0.612,214.828,arkansas
2001,0,209.973,0.734,210.707,arkansas
2002,0,222.175,0.671,222.846,arkansas
2003,0,212.357,0.654,213.011,arkansas
2004,0,221.7,0.91,222.61,arkansas
2005,0,227.308,1.096,228.404,arkansas
2006,0,231.859,0.918,232.777,arkansas
2007,0,234.063,1.093,235.156,arkansas
2008,0,218.09,1.06,219.15,arkansas
2009,0,212.367,1.046,213.412,arkansas
2010,0,207.649,1.263,208.913,arkansas
2011,0,200.339,1.348,201.688,arkansas
2012,0,195.327,1.493,196.82,arkansas
2013,0,196.294,1.339,197.633,arkansas
2014,0,197.91,2.103,200.013,arkansas
2015,0,203.637,1.954,205.591,arkansas
2016,0,210.479,2.263,212.742,arkansas
2017,0,214.993,2.275,217.269,arkansas
1980,0,170.065,0.845,170.91,california
1981,0,168.454,0.835,169.289,california
1982,0,159.542,0.717,160.259,california
1983,0,161.19,0.565,161.754,california
1984,0,169.558,0.626,170.184,california
1985,0,168.697,0.794,169.491,california
1986,0,174.541,0.679,175.22,california
1987,0,183.676,1.031,184.707,california
1988,0,194.338,1.048,195.385,california
1989,0,200.73,1.059,201.789,california
1990,0,202.12,1.103,203.222,california
1991,0,191.463,1.008,192.472,california
1992,0,191.362,0.828,192.19,california
1993,0,187.509,0.681,188.189,california
1994,0,195.9,0.688,196.588,california
1995,0,199.858,1.061,200.919,california
1996,0,203.176,1.064,204.24,california
1997,0,197.277,1.296,198.573,california
1998,0,198.725,0.577,199.301,california
1999,0,203.141,0.616,203.757,california
2000,0,214.216,0.612,214.828,california
2001,0,209.973,0.734,210.707,california
2002,0,222.175,0.671,222.846,california
2003,0,212.357,0.654,213.011,california
2004,0,221.7,0.91,222.61,california
2005,0,227.308,1.096,228.404,california
2006,0,231.859,0.918,232.777,california
2007,0,234.063,1.093,235.156,california
2008,0,218.09,1.06,219.15,california
2009,0,212.367,1.046,213.412,california
2010,0,207.649,1.263,208.913,california
2011,0,200.339,1.348,201.688,california
2012,0,195.327,1.493,196.82,california
2013,0,196.294,1.339,197.633,california
2014,0,197.91,2.103,200.013,california
2015,0,203.637,1.954,205.591,california
2016,0,210.479,2.263,212.742,california
2017,0,214.993,2.275,217.269,california
